Language,Popularity,Year,Value[%]
TypeScript,Always,2022,6
TypeScript,Frequently,2022,13
TypeScript,Sometimes,2022,17
TypeScript,Rarely,2022,14
TypeScript,Never,2022,50
SQL,Always,2022,16
SQL,Frequently,2022,26
SQL,Sometimes,2022,29
SQL,Rarely,2022,16
SQL,Never,2022,13
Rust,Always,2022,2
Rust,Frequently,2022,12
Rust,Sometimes,2022,16
Rust,Rarely,2022,14
Rust,Never,2022,56
R,Always,2022,7
R,Frequently,2022,19
R,Sometimes,2022,28
R,Rarely,2022,23
R,Never,2022,24
Python,Always,2022,31
Python,Frequently,2022,27
Python,Sometimes,2022,22
Python,Rarely,2022,14
Python,Never,2022,6
PHP,Always,2022,5
PHP,Frequently,2022,13
PHP,Sometimes,2022,20
PHP,Rarely,2022,17
PHP,Never,2022,45
Julia,Always,2022,3
Julia,Frequently,2022,12
Julia,Sometimes,2022,17
Julia,Rarely,2022,17
Julia,Never,2022,51
JavaScript,Always,2022,6
JavaScript,Frequently,2022,20
JavaScript,Sometimes,2022,26
JavaScript,Rarely,2022,19
JavaScript,Never,2022,28
Java,Always,2022,7
Java,Frequently,2022,18
Java,Sometimes,2022,21
Java,Rarely,2022,21
Java,Never,2022,33
HTML/CSS,Always,2022,8
HTML/CSS,Frequently,2022,18
HTML/CSS,Sometimes,2022,31
HTML/CSS,Rarely,2022,22
HTML/CSS,Never,2022,20
Go,Always,2022,3
Go,Frequently,2022,12
Go,Sometimes,2022,18
Go,Rarely,2022,14
Go,Never,2022,53
C#,Always,2022,5
C#,Frequently,2022,14
C#,Sometimes,2022,19
C#,Rarely,2022,19
C#,Never,2022,42
C/C++,Always,2022,8
C/C++,Frequently,2022,18
C/C++,Sometimes,2022,23
C/C++,Rarely,2022,22
C/C++,Never,2022,30
Bash/Shell,Always,2022,9
Bash/Shell,Frequently,2022,22
Bash/Shell,Sometimes,2022,24
Bash/Shell,Rarely,2022,19
Bash/Shell,Never,2022,26
R,Always,2021,10
R,Frequently,2021,17
R,Sometimes,2021,25
R,Rarely,2021,18
R,Never,2021,30
Python,Always,2021,34
Python,Frequently,2021,29
Python,Sometimes,2021,22
Python,Rarely,2021,11
Python,Never,2021,4
JavaScript,Always,2021,8
JavaScript,Frequently,2021,16
JavaScript,Sometimes,2021,24
JavaScript,Rarely,2021,19
JavaScript,Never,2021,33
Java,Always,2021,6
Java,Frequently,2021,15
Java,Sometimes,2021,22
Java,Rarely,2021,19
Java,Never,2021,38
C#,Always,2021,4
C#,Frequently,2021,10
C#,Sometimes,2021,19
C#,Rarely,2021,18
C#,Never,2021,49
C/C++,Always,2021,5
C/C++,Frequently,2021,13
C/C++,Sometimes,2021,23
C/C++,Rarely,2021,25
C/C++,Never,2021,34
R,Always,2020,10
R,Frequently,2020,17
R,Sometimes,2020,20
R,Rarely,2020,20
R,Never,2020,34
Python,Always,2020,47
Python,Frequently,2020,28
Python,Sometimes,2020,16
Python,Rarely,2020,6
Python,Never,2020,4
JavaScript,Always,2020,3
JavaScript,Frequently,2020,12
JavaScript,Sometimes,2020,20
JavaScript,Rarely,2020,23
JavaScript,Never,2020,42
Java,Always,2020,3
Java,Frequently,2020,7
Java,Sometimes,2020,13
Java,Rarely,2020,22
Java,Never,2020,55
C#,Always,2020,1
C#,Frequently,2020,3
C#,Sometimes,2020,8
C#,Rarely,2020,18
C#,Never,2020,70
C/C++,Always,2020,2
C/C++,Frequently,2020,7
C/C++,Sometimes,2020,14
C/C++,Rarely,2020,26
C/C++,Never,2020,50
